Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text,Top-Level Comment ID
Ugwh-_42t9f849jCf8x4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2019-08-16T20:00:40.487273+00:00,0,,D6xje2E6lPo,"{""text"":""Wtf is that guys problem just take the order. Don't argue with the customers.""}",
Ugx1fKtbP7U12z-nbxd4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2019-07-25T07:29:57.055955+00:00,0,,FVhD3FDI0Qg,"{""text"":""Man I like your videos but some of your theorys are kinda ridiculous.""}",
Ugyxro9BY0ShEvfbGVx4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2019-07-25T07:17:30.601895+00:00,0,,mGSG4nafYn0,"{""text"":""I thought you love fries 🍟.""}",
UgyFsyRIwvx08ARJE6R4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2019-07-14T02:53:21.508661+00:00,0,,UO19D89t19E,"{""text"":""I like your videos man but I feel you over exaturate a little too much some times.""}",
UgzgMojJgIqDUEuAQt94AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2019-06-25T23:51:07.962084+00:00,0,,_Uf1N5JAx3o,"{""text"":""Good video but the music reminded me of savage garden in the 90s.""}",
Ugwa_VC98DL34BXc3Qp4AaABAg.8uRtI_CGnzr8vXdT-ODs06,UCsEp7VYQ0e7CbGtEFr7czdw,2019-05-29T23:18:00.853165+00:00,0,Ugwa_VC98DL34BXc3Qp4AaABAg,z4ISztCmwuY,"{""text"":""Have you tried to crack open a lobster with your hands?? That shit can hurt.""}",Ugwa_VC98DL34BXc3Qp4AaABAg
UgzPlbPWVJalc_RGIqV4AaABAg.8tRtraSkb3L8vXdF7g-3yE,UCsEp7VYQ0e7CbGtEFr7czdw,2019-05-29T23:16:07.19704+00:00,0,UgzPlbPWVJalc_RGIqV4AaABAg,z4ISztCmwuY,"{""text"":""@hal bond"",""mention"":{""externalChannelId"":""UC3-2YWB_lcWIMQXdbBkerWw""}},{""text"":"" smh at you.""}",UgzPlbPWVJalc_RGIqV4AaABAg
UgzPlbPWVJalc_RGIqV4AaABAg.8tRtraSkb3L8vXd3q2Nya9,UCsEp7VYQ0e7CbGtEFr7czdw,2019-05-29T23:14:34.712107+00:00,0,UgzPlbPWVJalc_RGIqV4AaABAg,z4ISztCmwuY,"{""text"":""She's not a bro bruh. Lol""}",UgzPlbPWVJalc_RGIqV4AaABAg
UgwGs8X075GAhd7tlWd4AaABAg.8sOIns53KNa8u6m3wKFHR7,UCsEp7VYQ0e7CbGtEFr7czdw,2019-04-24T16:22:20.772696+00:00,0,UgwGs8X075GAhd7tlWd4AaABAg,bNj7sf3zjhE,"{""text"":""I know that part got me to""}",UgwGs8X075GAhd7tlWd4AaABAg
UgyCYPtThN3G7-bPe-h4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2019-04-24T15:45:15.425429+00:00,0,,_kmeb7zURNs,"{""text"":""I love avocados""}",
UgxkBSGgyMLvpm4pi514AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2019-04-24T15:41:58.219872+00:00,0,,_kmeb7zURNs,"{""text"":""You guys are the best. Keep the videos coming.""}",
Ugweoa_EFGm86BKvJ5h4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2019-03-05T19:35:37.137887+00:00,0,,kHE4bEeey8c,"{""text"":""This narrator watch too much Damon berry""}",
Ugx7qZmVPhkKhsIRbz14AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2019-02-19T15:28:44.836913+00:00,0,,Q1DCda5Cabo,"{""text"":""What a ignorant prick""}",
UgyWjgbTtlhFviS52qF4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-11-13T08:32:53.956528+00:00,0,,WlJ4Ko5ue_4,"{""text"":""Bro some of these are whale sharks.""}",
UgzI6D-7EYsMwbM3Qhd4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-10-31T02:40:43.902059+00:00,0,,udfNbQUvrLE,"{""text"":""Dude its so much better without the interviewer""}",
UgwzF-TZiImmLeCA-qh4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-09-23T17:55:57.427166+00:00,0,,DkBcqm7dBSs,"{""text"":""Get real u didn't prank nobody""}",
UgyQ4hWj-ZwTXoJHh9t4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-09-23T17:52:28.121282+00:00,0,,dmG-r6wrAw8,"{""text"":""Lol you laugh when ur in pain!!! u screamed like a man women and then \""acted like u passes out\""""}",
UgzQBzMvuzfdiwUDunV4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-09-23T17:47:45.975401+00:00,0,,dmG-r6wrAw8,"{""text"":""Dude ur not a ninja. You shouldn't have tried that at home""}",
Ugye2AqwIu7Kf40ExHZ4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-09-12T22:48:54.078199+00:00,0,,RlkJF-FTOQU,"{""text"":""Interviewer sucks. He was trying but not successful.""}",
Ugy7PazibntFAqbjnld4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-09-05T06:06:39.716648+00:00,0,,eKms6dY5uFQ,"{""text"":""What a vagina""}",
UgzJc2phvtuz4RB5LKZ4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-09-04T15:24:00.015207+00:00,0,,zn5fP5QMmFc,"{""text"":""This isn't even eminem. Get you facts straight and stop with the CLICK BAIT!""}",
Ugx6UzYnPe2SC0Yz07Z4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-08-04T09:34:38.059574+00:00,0,,Fbl3E_XCQfA,"{""text"":""What a waste of everything""}",
UgxXaLBytJzdGCxFok94AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-08-04T09:18:00.883682+00:00,0,,dwvqEe2x_Z4,"{""text"":""Why did you dump the mac n cheese out of the bowl. Either way tho good job.""}",
Ugyi5QugeaL-Gg5Vspd4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-06-18T21:58:41.624946+00:00,0,,XdNOI-q70q4,"{""text"":""Props to you matt stonie! You are a beast in eating competition as well as challenges. Keep it up and ill keep watching.""}",
UgwTRLz6veDEOQdj6eN4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2018-03-31T06:40:06.529637+00:00,0,,upe5KUlui5c,"{""text"":""Really man!""}",





